10000 100000
41 8467 6
6500 9169 2
1478 9358 5
4464 5705 5
3281 6827 0
491 2995 0
4827 5436 2
4604 3902 6
292 2382 5
8716 9718 1
5447 1726 1
1538 1869 4
5667 6299 4
9894 8703 4
1322 333 5
4664 5141 4
8253 6868 4
7644 2662 4
37 2859 1
9741 7529 1
2316 3035 0
1842 288 6
9040 8942 0
2648 7446 5
5890 6729 3
5350 5006 0
4393 3548 1
2623 4084 4
8756 1840 3
7376 3931 2
6944 2439 0
1323 5537 6
6118 2082 4
6541 4833 0
4639 9658 3
9930 3977 3
1673 2386 2
8745 6924 4
6270 5829 2
5573 5097 6
3986 3290 5
8636 2355 1
3655 5574 6
2052 7350 2
6941 1724 1
3430 1107 0
8007 1337 1
2287 7753 2
4945 8909 2
9758 4221 3
6422 4946 3
3030 6413 6
900 2591 2
1655 7410 3
7624 537 2
6483 7595 2
3602 4350 1
836 9374 2
4596 4021 6
3199 9668 5
8281 4734 4
1999 6418 1
6900 3788 4
467 3728 4
4648 2483 6
2421 4310 2
2813 9514 1
7616 8935 0
600 5249 6
1556 2798 0
6224 1008 6
2609 4989 5
3195 485 6
4343 523 5
9314 9503 0
5200 3458 3
580 9796 0
5281 9589 1
8009 7157 4
3622 8538 0
6038 4179 4
9657 7958 3
9815 2888 4
1511 6202 2
4272 55 0
2646 6362 0
8875 8433 0
142 3844 2
1881 1998 4
8651 21 1
3557 8476 4
4389 5075 2
2600 2510 3
6869 7861 2
3401 9789 2
6423 5002 1
4182 285 5
1426 8617 6
9832 932 4
2154 5721 4
9976 1329 2
8692 1425 6
3434 6549 0
9512 145 0
1718 3753 4
2423 6279 5
6687 2529 2
7437 9866 6
193 3195 0
416 8286 5
4488 6282 2
5734 8114 4
1316 671 4
2263 4313 2
1185 53 2
808 1832 1
4313 7756 6
9558 3646 3
481 4144 5
222 7129 5
5535 450 1
466 2044 1
6292 6439 5
24 6154 5
4745 649 5
8313 4474 1
2168 4018 6
9905 7958 6
202 3625 3
4414 9314 1
9334 5874 5
159 1833 0
7487 8297 0
8177 7773 0
1763 2668 0
3985 3102 3
9213 7627 0
4099 527 0
1543 1924 5
9972 3061 6
1003 7432 5
7593 2725 4
8492 142 2
1286 3064 4
9187 8360 6
974 4270 1
235 833 6
5760 8896 5
7285 2550 0
3694 2695 1
8019 2125 4
1694 2658 3
7371 2466 2
2593 3851 4
1018 8464 0
3152 2800 6
1060 1926 1
4757 2170 1
9576 227 3
2758 7164 6
7882 7086 4
3487 9577 5
2625 5627 1
1928 5423 2
6902 4962 4
4596 3737 3
195 2525 4
8260 6202 3
5030 326 3
771 6411 4
1153 1520 5
4924 188 0
4940 851 0
3829 900 3
8958 7578 0
3007 1477 3
6058 6439 0
2760 9357 0
6477 5108 1
4887 9801 2
4460 2428 1
7384 9405 2
1111 8704 4
2356 6072 6
8823 4485 4
3216 1626 5
8526 3357 0
3271 3869 3
2896 3022 0
112 2717 6
1585 4041 0
4129 4229 1
6559 8932 1
9855 2053 1
3584 9734 4
6972 1457 5
2532 2963 3
2483 911 1
67 2848 6
